"","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","aff_yes_no"
"353",1,"female",17.5,0.75,"no",5,14,4,5,"Yes"
"354",1,"female",32,10,"yes",4,18,1,5,"Yes"
"367",7,"female",32,7,"yes",2,17,6,4,"Yes"
"369",7,"male",37,15,"yes",2,20,6,4,"Yes"
"390",7,"female",37,10,"no",1,20,5,3,"Yes"
"392",12,"female",32,10,"yes",2,16,5,5,"Yes"
"423",7,"male",52,15,"yes",2,20,6,4,"Yes"
"432",7,"female",42,15,"yes",1,12,1,3,"Yes"
"436",1,"male",52,15,"yes",2,20,6,3,"Yes"
"483",2,"male",37,15,"yes",3,18,6,5,"Yes"
"513",12,"female",22,4,"no",3,12,3,4,"Yes"
"516",12,"male",27,7,"yes",1,18,6,2,"Yes"
"518",1,"male",27,4,"yes",3,18,5,5,"Yes"
"520",12,"male",47,15,"yes",4,17,6,5,"Yes"
"526",12,"female",42,15,"yes",4,12,1,1,"Yes"
"528",7,"male",27,4,"no",3,14,3,4,"Yes"
"553",7,"female",32,7,"yes",4,18,4,5,"Yes"
"576",1,"male",32,0.417,"yes",3,12,3,4,"Yes"
"611",3,"male",47,15,"yes",5,16,5,4,"Yes"
"625",12,"male",37,15,"yes",2,20,5,4,"Yes"
"635",7,"male",22,4,"yes",2,17,6,4,"Yes"
"646",1,"male",27,4,"no",2,14,4,5,"Yes"
"657",7,"female",52,15,"yes",5,16,1,3,"Yes"
"659",1,"male",27,4,"no",3,14,3,3,"Yes"
"666",1,"female",27,10,"yes",4,16,1,4,"Yes"
"679",1,"male",32,7,"yes",3,14,7,4,"Yes"
"729",7,"male",32,7,"yes",2,18,4,1,"Yes"
"755",3,"male",22,1.5,"no",1,14,3,2,"Yes"
"758",7,"male",22,4,"yes",3,18,6,4,"Yes"
"770",7,"male",42,15,"yes",4,20,6,4,"Yes"
"786",2,"female",57,15,"yes",1,18,5,4,"Yes"
"797",7,"female",32,4,"yes",3,18,5,2,"Yes"
"811",1,"male",27,4,"yes",1,16,4,4,"Yes"
"834",7,"male",32,7,"yes",4,16,1,4,"Yes"
"858",2,"male",57,15,"yes",1,17,4,4,"Yes"
"885",7,"female",42,15,"yes",4,14,5,2,"Yes"
"893",7,"male",37,10,"yes",1,18,5,3,"Yes"
"927",3,"male",42,15,"yes",3,17,6,1,"Yes"
"928",1,"female",52,15,"yes",3,14,4,4,"Yes"
"933",2,"female",27,7,"yes",3,17,5,3,"Yes"
"951",12,"male",32,7,"yes",2,12,4,2,"Yes"
"968",1,"male",22,4,"no",4,14,2,5,"Yes"
"972",3,"male",27,7,"yes",3,18,6,4,"Yes"
"975",12,"female",37,15,"yes",1,18,5,5,"Yes"
"977",7,"female",32,15,"yes",3,17,1,3,"Yes"
"981",7,"female",27,7,"no",2,17,5,5,"Yes"
"986",1,"female",32,7,"yes",3,17,5,3,"Yes"
"1002",1,"male",32,1.5,"yes",2,14,2,4,"Yes"
"1007",12,"female",42,15,"yes",4,14,1,2,"Yes"
"1011",7,"male",32,10,"yes",3,14,5,4,"Yes"
"1035",7,"male",37,4,"yes",1,20,6,3,"Yes"
"1050",1,"female",27,4,"yes",2,16,5,3,"Yes"
"1056",12,"female",42,15,"yes",3,14,4,3,"Yes"
"1057",1,"male",27,10,"yes",5,20,6,5,"Yes"
"1075",12,"male",37,10,"yes",2,20,6,2,"Yes"
"1080",12,"female",27,7,"yes",1,14,3,3,"Yes"
"1125",3,"female",27,7,"yes",4,12,1,2,"Yes"
"1131",3,"male",32,10,"yes",2,14,4,4,"Yes"
"1138",12,"female",17.5,0.75,"yes",2,12,1,3,"Yes"
"1150",12,"female",32,15,"yes",3,18,5,4,"Yes"
"1163",2,"female",22,7,"no",4,14,4,3,"Yes"
"1169",1,"male",32,7,"yes",4,20,6,5,"Yes"
"1198",7,"male",27,4,"yes",2,18,6,2,"Yes"
"1204",1,"female",22,1.5,"yes",5,14,5,3,"Yes"
"1218",12,"female",32,15,"no",3,17,5,1,"Yes"
"1230",12,"female",42,15,"yes",2,12,1,2,"Yes"
"1236",7,"male",42,15,"yes",3,20,5,4,"Yes"
"1247",12,"male",32,10,"no",2,18,4,2,"Yes"
"1259",12,"female",32,15,"yes",3,9,1,1,"Yes"
"1294",7,"male",57,15,"yes",5,20,4,5,"Yes"
"1353",12,"male",47,15,"yes",4,20,6,4,"Yes"
"1370",2,"female",42,15,"yes",2,17,6,3,"Yes"
"1427",12,"male",37,15,"yes",3,17,6,3,"Yes"
"1445",12,"male",37,15,"yes",5,17,5,2,"Yes"
"1460",7,"male",27,10,"yes",2,20,6,4,"Yes"
"1480",2,"male",37,15,"yes",2,16,5,4,"Yes"
"1505",12,"female",32,15,"yes",1,14,5,2,"Yes"
"1543",7,"male",32,10,"yes",3,17,6,3,"Yes"
"1548",2,"male",37,15,"yes",4,18,5,1,"Yes"
"1550",7,"female",27,1.5,"no",2,17,5,5,"Yes"
"1561",3,"female",47,15,"yes",2,17,5,2,"Yes"
"1564",12,"male",37,15,"yes",2,17,5,4,"Yes"
"1573",12,"female",27,4,"no",2,14,5,5,"Yes"
"1575",2,"female",27,10,"yes",4,14,1,5,"Yes"
"1599",1,"female",22,4,"yes",3,16,1,3,"Yes"
"1622",12,"male",52,7,"no",4,16,5,5,"Yes"
"1629",2,"female",27,4,"yes",1,16,3,5,"Yes"
"1664",7,"female",37,15,"yes",2,17,6,4,"Yes"
"1669",2,"female",27,4,"no",1,17,3,1,"Yes"
"1674",12,"female",17.5,0.75,"yes",2,12,3,5,"Yes"
"1682",7,"female",32,15,"yes",5,18,5,4,"Yes"
"1685",7,"female",22,4,"no",1,16,3,5,"Yes"
"1697",2,"male",32,4,"yes",4,18,6,4,"Yes"
"1716",1,"female",22,1.5,"yes",3,18,5,2,"Yes"
"1730",3,"female",42,15,"yes",2,17,5,4,"Yes"
"1731",1,"male",32,7,"yes",4,16,4,4,"Yes"
"1732",12,"male",37,15,"no",3,14,6,2,"Yes"
"1743",1,"male",42,15,"yes",3,16,6,3,"Yes"
"1751",1,"male",27,4,"yes",1,18,5,4,"Yes"
"1757",2,"male",37,15,"yes",4,20,7,3,"Yes"
"1763",7,"male",37,15,"yes",3,20,6,4,"Yes"
"1766",3,"male",22,1.5,"no",2,12,3,3,"Yes"
"1772",3,"male",32,4,"yes",3,20,6,2,"Yes"
"1776",2,"male",32,15,"yes",5,20,6,5,"Yes"
"1782",12,"female",52,15,"yes",1,18,5,5,"Yes"
"1784",12,"male",47,15,"no",1,18,6,5,"Yes"
"1791",3,"female",32,15,"yes",4,16,4,4,"Yes"
"1831",7,"female",32,15,"yes",3,14,3,2,"Yes"
"1840",7,"female",27,7,"yes",4,16,1,2,"Yes"
"1844",12,"male",42,15,"yes",3,18,6,2,"Yes"
"1856",7,"female",42,15,"yes",2,14,3,2,"Yes"
"1876",12,"male",27,7,"yes",2,17,5,4,"Yes"
"1929",3,"male",32,10,"yes",4,14,4,3,"Yes"
"1935",7,"male",47,15,"yes",3,16,4,2,"Yes"
"1938",1,"male",22,1.5,"yes",1,12,2,5,"Yes"
"1941",7,"female",32,10,"yes",2,18,5,4,"Yes"
"1954",2,"male",32,10,"yes",2,17,6,5,"Yes"
"1959",2,"male",22,7,"yes",3,18,6,2,"Yes"
"9010",1,"female",32,15,"yes",3,14,1,5,"Yes"
